n,a_cos,b_sin,rel_to_n1
1,-0.3968061860945466,-0.6233906140296051,1
2,0.2646378908218971,-0.529116630390158,0.8005859927376768
3,0.396892126609405,5.712320353862582e-005,0.5370910664685041
4,0.05291690127562344,0.2117026191988083,0.2952989591573729
5,-0.1322863549914059,3.253055383022222e-005,0.1790154455844176
6,0.02266489983328119,-0.1360319259173876,0.1866217381758947
7,0.1322561223926422,7.871503411296345e-006,0.1789745284689113
8,0.01259595120308729,0.1007671033401246,0.137423479342245
9,-0.07933953353768083,4.572534445724701e-006,0.1073655823669622
10,0.008018667873319443,-0.0801319944505799,0.1089795512259338
11,0.07933207194604788,4.774710134974519e-006,0.107355485044557
12,0.005552011000081648,0.06656424537751889,0.0903903159493617
13,-0.05664216811220708,3.611647932127228e-006,0.07665055612242788
14,0.004072641379251465,-0.05692702721706494,0.07723292969303545
15,0.05663762269646685,3.37075968594734e-006,0.0766444050552522
